Year,Month,Day,TA_F,SW_IN_F,VPD_F
1996,1,1,-12.978,71.971,0.321
1996,1,2,-16.204,65.078,0.295
1996,1,3,-17.974,25.011,0.155
1996,1,4,-18.474,52.758,0.286
1996,1,5,-19.714,68.206,0.251
1996,1,6,-17.363,72.175,0.35
1996,1,7,-15.994,73.652,0.27
1996,1,8,-14.552,36.09,0.366
1996,1,9,-12.464,74.264,0.362
1996,1,10,-10.439,16.354,0.28
1996,1,11,-9.681,77.244,0.504
1996,1,12,-9.797,33.716,0.41
1996,1,13,-2.015,31.412,0.896
1996,1,14,-5.049,67.236,1.124
1996,1,15,-11.582,83.301,0.747
1996,1,16,-15.081,49.221,0.428
1996,1,17,3.655,19.321,1.372
1996,1,18,2.668,69.838,0.71
1996,1,19,9.118,19.029,0.817
1996,1,20,-4.87,92.241,1.312
1996,1,21,-10.543,55.644,0.693
1996,1,22,-4.97,87.605,0.894
1996,1,23,-0.594,27.725,0.864
1996,1,24,4.147,3.096,0.36
1996,1,25,-4.244,81.262,0.879
1996,1,26,-10.498,74.179,0.61
1996,1,27,1.189,16.429,0.85
1996,1,28,-4.249,85.468,0.914
1996,1,29,-11.999,98.256,0.554
1996,1,30,-3.7,33.877,0.853
1996,1,31,-10.327,86.942,0.661
1996,2,1,-16.175,106.38,0.344
1996,2,2,-11.854,82.521,0.75
1996,2,3,-15.262,72.267,0.47
1996,2,4,-18.997,105.767,0.252
1996,2,5,-17.613,114.097,0.338
1996,2,6,-14.817,104.925,0.479
1996,2,7,-10.971,95.996,0.96
1996,2,8,0.302,47.185,1.042
1996,2,9,0.647,23.213,0.454
1996,2,10,-1.502,103.937,1.436
1996,2,11,-6.335,13.888,0.184
1996,2,12,-9.318,123.517,0.678
1996,2,13,-18.758,125.198,0.283
1996,2,14,-13.945,121.868,0.583
1996,2,15,-9.456,116.557,0.916
1996,2,16,-8.705,104.345,0.842
1996,2,17,-6.485,22.929,0.574
1996,2,18,-8.827,126.094,1.002
1996,2,19,-12.408,127.092,0.712
1996,2,20,0.426,94.058,1.733
1996,2,21,5.682,47.839,1.045
1996,2,22,4.018,17.883,0.221
1996,2,23,2.589,61.747,0.492
1996,2,24,1.977,25.763,0.128
1996,2,25,1.226,16.283,0.284
1996,2,26,-0.146,89.473,1.939
1996,2,27,0.225,161.45,3.345
1996,2,28,0.09,21.501,1.357
1996,2,29,-1.027,21.501,1.208
1996,3,1,-8.41,162.393,1.442
1996,3,2,-4.27,102.581,1.199
1996,3,3,-2.267,133.736,1.273
1996,3,4,-10.095,170.607,1.26
1996,3,5,-9.673,83.289,0.623
1996,3,6,-6.266,134.237,1.162
1996,3,7,-8.282,60.292,0.479
1996,3,8,-8.623,31.243,0.394
1996,3,9,-10.148,172.015,0.953
