TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19960101,-12.978,0.0,123.424,71.971,0.0,179.592,0.0,0.321,0.0,100.632,0.0,0.0,1.0,1.992,0.0,-9999,0.0,38.57414583333334,1.0,159.98495833333334,1.0,-9999,0.0,-9999,0.0,371.74,0.0,-9999,-9999,-9999,-9999,-9999,1.0,1.12434,-9999,-9999,-9999,-9999,-9999,25.9243,-9999,-9999,-9999,-9999,-9999,0.483676,0.0,-9999,0.483676,0.483676,0.483676,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960102,-16.204,0.0,124.045,65.078,0.0,182.515,0.0,0.295,0.0,100.505,0.0,0.0,1.0,1.288,0.5,-9999,0.0,37.29589583333333,1.0,134.9818125,1.0,-9999,0.0,-9999,0.0,371.717,0.791667,-9999,-9999,-9999,-9999,-9999,1.0,1.14945,-9999,-9999,-9999,-9999,-9999,26.0145,-9999,-9999,-9999,-9999,-9999,0.443145,0.208333,-9999,0.443145,0.443145,0.443145,0.208333,0.208333,0.208333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960103,-17.974,0.0,124.725,25.011,0.0,221.598,0.0,0.155,0.0,99.978,0.0,0.1,1.0,2.406,0.520833,0.5230799999999999,0.5208333333333334,29.703916666666668,1.0,31.630583333333334,1.0,-9999,0.0,-9999,0.0,369.15,0.875,-9999,-9999,-9999,-9999,-9999,1.0,0.723219,-9999,-9999,-9999,-9999,-9999,8.85373,-9999,-9999,-9999,-9999,-9999,0.498542,0.333333,-9999,0.498542,0.498542,0.498542,0.333333,0.333333,0.333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960104,-18.474,0.0,125.464,52.758,0.0,196.156,0.0,0.286,0.0,100.069,0.0,0.2,1.0,2.924,0.4375,-9999,0.0,46.784875,1.0,131.95354166666667,1.0,-9999,0.0,-9999,0.0,368.272,0.791667,-9999,-9999,-9999,-9999,-9999,1.0,1.6032,-9999,-9999,-9999,-9999,-9999,14.9157,-9999,-9999,-9999,-9999,-9999,0.615314,0.104167,-9999,0.615314,0.615314,0.615314,0.104167,0.104167,0.104167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960105,-19.714,0.0,126.261,68.206,0.0,167.137,0.0,0.251,0.0,100.446,0.0,0.0,1.0,3.602,0.625,0.5776666666666668,0.625,41.40016666666667,1.0,142.89091666666667,1.0,-9999,0.0,-9999,0.0,370.318,0.916667,-9999,-9999,-9999,-9999,-9999,1.0,3.66546,-9999,-9999,-9999,-9999,-9999,10.4896,-9999,-9999,-9999,-9999,-9999,0.367914,0.333333,-9999,0.367914,0.367914,0.367914,0.333333,0.333333,0.333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960106,-17.363,0.0,127.117,72.175,0.0,176.657,0.0,0.35,0.0,101.185,0.0,0.0,1.0,3.16,0.583333,0.40664285714285714,0.5833333333333334,42.23195833333333,1.0,166.5336875,1.0,-9999,0.0,-9999,0.0,371.494,0.875,-9999,-9999,-9999,-9999,-9999,1.0,3.59508,-9999,-9999,-9999,-9999,-9999,12.0166,-9999,-9999,-9999,-9999,-9999,0.270201,0.520833,-9999,0.270201,0.270201,0.270201,0.520833,0.520833,0.520833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960107,-15.994,0.0,128.031,73.652,0.0,181.822,0.0,0.27,0.0,101.494,0.0,0.0,1.0,1.447,0.645833,0.16548387096774195,0.6458333333333334,42.936125000000004,1.0,155.3489375,1.0,-9999,-9999,-9999,-9999,374.863,1.0,-9999,-9999,-9999,-9999,-9999,1.0,3.15933,-9999,-9999,-9999,-9999,-9999,38.6831,-9999,-9999,-9999,-9999,-9999,-0.217977,0.291667,-9999,-0.217977,-0.217977,-0.217977,0.291667,0.291667,0.291667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960108,-14.552,0.0,129.003,36.09,0.0,230.384,0.0,0.366,0.0,99.808,0.0,0.0,1.0,3.979,0.5,-9999,0.0,34.27314583333333,1.0,57.15587500000001,1.0,-9999,0.0,-9999,0.0,366.533,0.666667,-9999,-9999,-9999,-9999,-9999,1.0,5.63241,-9999,-9999,-9999,-9999,-9999,16.2646,-9999,-9999,-9999,-9999,-9999,0.185764,0.1875,-9999,0.185764,0.185764,0.185764,0.1875,0.1875,0.1875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960109,-12.464,0.0,130.033,74.264,0.0,202.979,0.0,0.362,0.0,99.409,0.0,0.0,1.0,2.0,0.729167,0.2833428571428571,0.7291666666666666,44.65991666666667,1.0,135.00045833333334,1.0,-9999,0.0,-9999,0.0,365.381,0.875,-9999,-9999,-9999,-9999,-9999,1.0,7.14692,-9999,-9999,-9999,-9999,-9999,5.58837,-9999,-9999,-9999,-9999,-9999,0.414691,0.5625,-9999,0.414691,0.414691,0.414691,0.5625,0.5625,0.5625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19960110,-10.439,0.0,131.121,16.354,0.0,254.329,0.0,0.28,0.0,99.968,0.0,0.0,1.0,2.6,0.875,0.4766190476190476,0.875,29.418104166666666,1.0,79.92495833333334,1.0,-9999,0.0,-9999,0.0,371.766,1.0,-9999,-9999,-9999,-9999,-9999,1.0,0.0347413,-9999,-9999,-9999,-9999,-9999,-7.13745,-9999,-9999,-9999,-9999,-9999,0.59004,0.75,-9999,0.59004,0.59004,0.59004,0.75,0.75,0.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
